event_id,operator,operator_normalized,sub_brand,venue_id,institution,venue_name_as_written,event_type,event_date,date_precision,first_outsourcing,contract_value_usd,contract_length_years,losing_bidders,source_publication,source_date,source_title,source_file,extraction_confidence,needs_review,notes,extras
ev_081648386db6d225,Aramark Correctional Services LLC,Aramark Correctional Services LLC,,,El Paso County,El Paso County Criminal Justice Center,lost,2016-08-31,exact,,,18,,|Colorado Springs Independent; Colorado Springs |,2017-02-07,GRUEL & UNUSUAL,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.92,True,No matching venue_id in candidate list. Article states Aramark held the contract for 18 years under a series of negotiated deals. Aramark completed 'all responsibilities through the last meal we were contracted to provide on August 31.' Lost to Trinity Services Group.,"{""annual_value_2015_2016"": 1890980, ""commissary_revenue_june_to_nov"": 165700}"
ev_8c55b6dc2f6bc177,Trinity Services Group,Trinity Services Group,,,El Paso County,El Paso County Criminal Justice Center,won,2016-09-01,month,,,5,,|Colorado Springs Independent; Colorado Springs |,2017-02-07,GRUEL & UNUSUAL,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.92,True,"No matching venue_id in candidate list. Trinity Services Group of Oldsmar, Florida took over in September (2016). Five-year contract renewable annually with 3% annual price escalators. 2017 cost is $1,985,529. Operator not on known crosswalk list.","{""annual_value_2017"": 1985529, ""cost_per_meal_range"": ""$1.01 to $1.26"", ""kosher_meal_cost"": 3.5, ""annual_escalator_pct"": 3, ""incumbent"": ""Aramark Correctional Services LLC"", ""commissary_also_operated"": true}"
ev_cd58e0f13974709c,Trinity Services Group,Trinity Services Group,,,Michigan Department of Corrections,Michigan Department of Corrections,violation,,approx,,,,,|Crain's Detroit Business; Detroit |,2017-01-30,MICHIGAN BRIEFS,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.75,True,"Article reports $2M+ in penalties for unauthorized meal substitutions, delays, inadequate staffing, and sanitation violations since Trinity began providing meals in Sept 2015. No matching venue_id; this is a state prison system, not a stadium/arena/convention center. Operator not on known crosswalk.","{""penalty_amount_usd"": 2000000, ""contract_start"": ""2015-09"", ""violations"": [""unauthorized meal substitutions"", ""delays serving meals"", ""inadequate staffing levels"", ""sanitation violations""]}"
ev_703d633fc8161141,Aramark Correctional Services,Aramark Correctional Services,Aramark Correctional Services,,Michigan Department of Corrections,Michigan Department of Corrections,expired,2015-09-01,month,,,,,|Crain's Detroit Business; Detroit |,2017-01-30,MICHIGAN BRIEFS,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.7,True,"Article says the state and Aramark Correctional Services 'ended their contract early,' and Trinity began in September 2015. No matching venue_id; this is a state prison system. Date inferred from Trinity's start date. Sub-brand is Aramark Correctional Services.",
ev_381cdc07c31d6d85,Trinity Services Group,Trinity Services Group,,,Michigan Department of Corrections,Michigan Department of Corrections,won,2015-09-01,month,,,,,|Crain's Detroit Business; Detroit |,2017-01-30,MICHIGAN BRIEFS,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.8,True,"Article states Trinity began providing meals in September 2015, replacing Aramark. No matching venue_id; this is a state prison system, not a stadium/arena/convention center. Operator not on known crosswalk.","{""headquarters"": ""Oldsmar, FL""}"
ev_71d0143d9b28035d,Aramark,Aramark,,wd-Q238101,University of Minnesota,University of Minnesota,won,1998-01-01,year,,,12,,|University Wire; Carlsbad |,2017-01-19,"After complaints over U food service, Student Senate taking steps to address issues",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,False,"Article states 'Aramark first provided food service to the University's Twin Cities campus in 1998' and mentions a 12-year contract. The 12-year term may refer to a later contract or renewal rather than the original 1998 start, but the article is not fully clear on this.","{""performance_bonus"": ""$50,000 annually if benchmarks met in 15 areas"", ""campus"": ""Twin Cities""}"
ev_71ed24575f11b40f,Aramark,Aramark,,,Northwest Missouri State University,Northwest Missouri State University,self_op,2017-04-03,exact,,,,,|University Wire; Carlsbad |,2017-01-18,Campus dropping Aramark for facilities,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,"No matching venue_id in candidates. Article is about Northwest Missouri State University in Maryville, MO, not University of Minnesota. The contract is for total facility management services (maintenance, custodial, landscaping, energy management, etc.), not food-service concessions. The university is taking these services in-house effective April 3, 2017. This may not be a food-service contract at all — needs review. The Aramark relationship dates back more than 30 years.","{""service_type"": ""total facility management (maintenance, custodial, landscaping, sustainability, capital programs, energy management, environmental health and safety)"", ""not_food_service"": true, ""relationship_duration"": ""more than 30 years"", ""termination_notice_days"": 90, ""aramark_employees_on_account"": 4}"
ev_4e6c6c0add92e0f7,Aramark,Aramark,,,Northwest Missouri State University,Northwest Missouri State University,lost,2017-04-03,exact,,,,,|University Wire; Carlsbad |,2017-01-18,Campus dropping Aramark for facilities,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,"Aramark lost this contract because the university is bringing services in-house (self_op). Paired with self_op event. No matching venue_id — article is about Northwest Missouri State University, not University of Minnesota. Contract is for facility management services, NOT food service — may be out of scope entirely.","{""service_type"": ""total facility management"", ""not_food_service"": true}"
ev_82303a72f0ac0128,Aramark,Aramark,,,Temple University,Temple University,won,2017-05-13,exact,,,15,,|University Wire; Carlsbad |,2017-01-17,TSG to join Aramark transition talks,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.92,True,No venue_id match. Board of Trustees approved Aramark; transition originally July 1 but moved to May 13. 15-year contract. The venue is Temple University campus dining (Student Center and other locations).,
ev_fc526f07acd7b9b6,Sodexo,Sodexo,,,Temple University,Temple University,lost,2017-05-13,exact,,,,,|University Wire; Carlsbad |,2017-01-17,TSG to join Aramark transition talks,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.9,True,"No venue_id match. Sodexo served Temple for 28 years and is being replaced by Aramark. Transition date May 13, 2017.",
