venue_name,venue_type,city,state,lat,lng,operator,start_date,start_precision,end_date,end_precision,end_status,exit_mode,source,notes,extras,tenure_id,venue_id,operator_normalized,derived_from,known_through,render_end_year,render_end_basis,end_inferred_from,needs_review,review_reasons
An Bhialann,other,,,,,Sodexo,,,,,unknown,,|The Daily Mirror; London (UK) | 2016-11-03,,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1}",sp-c8eb0aef90,,Sodexo,ev_7ed47775d4e71816,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
Barnard Store,other,,,,,Aramark,,,2016-05-01,month,ended,lost_bid,|University Wire; Carlsbad | 2016-10-06,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-05-01"", ""overlaps_with"": [""Barnard""], ""event_count"": 1}",sp-aabde55cd8,,Aramark,ev_9312d1e68a008296 ev_b411eb07a4a307b2,2016-05-01,2016,reported end,,True,"run ends with no award ever reported — start unknown; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Barnard Store,other,,,,,Barnard,,,2016-05-01,month,ended,self_op_conversion,|University Wire; Carlsbad | 2016-10-06,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-05-01"", ""overlaps_with"": [""Aramark""], ""event_count"": 1}",sp-9221ba4d94,,Barnard,ev_115d769ac117964a ev_9daa46dd3ed4d323,2016-05-01,2016,reported end,,True,"run ends with no award ever reported — start unknown; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Bartlett Dining Hall,other,,,,,Aramark,,,2016-07-01,exact,ended,lost_bid,|University Wire; Carlsbad | 2016-09-16,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-01"", ""event_count"": 1}",sp-8f58456704,,Aramark,ev_c03f638e8b8b1b84,2016-07-01,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Bartlett Dining Hall,other,,,,,Compass,2016-07-01,exact,,,unknown,,|University Wire; Carlsbad | 2016-09-16,,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-01"", ""event_count"": 1, ""sub_brands"": [""bon appetit""]}",sp-b9bf93696b,,Compass,ev_f2f8e0bbaf01a767,2016-07-01,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
Brandeis,other,,,,,Aramark,,,2013-01-01,year,ended,lost_bid,|University Wire; Carlsbad | 2016-11-14,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2013-01-01"", ""event_count"": 1}",sp-75759012f0,,Aramark,ev_c77ab15efced105c,2013-01-01,2013,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Brandeis,other,,,,,Sodexo,2013-01-01,year,,,unknown,,|University Wire; Carlsbad | 2016-11-14,,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2013-01-01"", ""event_count"": 1}",sp-de10f3e022,,Sodexo,ev_4491deab17382d16,2013-01-01,2013,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
Charles Egeler Reception and Guidance Center,other,,,,,Trinity Services Group,,,,,unknown,,"|Detroit Free Press (1923-), General edition; Detroit | 2016-09-09",,"{""needs_review"": true, ""review_reasons"": [""presence only (violation) \u2014 operator was here, but no award was reported"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-09-06"", ""event_count"": 1}",sp-25d8d56851,,Trinity Services Group,ev_385b345d4e5ea75c,2016-09-06,2016,evidence stops here; the end is unknown,,True,"presence only (violation) — operator was here, but no award was reported; start_date unknown; venue never matched the spine — not mappable"
Clemson,other,,,,,Aramark,1969-01-01,year,,,unknown,,|Food Management; Cleveland | 2016-12-01,,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-01-01"", ""event_count"": 2, ""sub_brands"": [""Fresh Food Company""]}",sp-3a13a82a20,,Aramark,ev_e6ffa84cb1155276 ev_84ef7e515261dada,2016-01-01,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
Cotton Correctional Facility,other,,,,,Aramark Correctional Services,,,2015-09-01,month,ended,lost_bid,"|Lansing State Journal (1980-); Lansing, Michigan | 2016-09-07",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-09-01"", ""event_count"": 1, ""sub_brands"": [""Aramark Correctional Services""]}",sp-cee73f1eeb,,Aramark Correctional Services,ev_c9f4c254ef9ba6d2,2015-09-01,2015,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
